date,ret_1d,ret_2d,ret_5d,ret_10d,ret_21d,rsi,macd,atr,stoch,ultosc,pe,pb,ps,evebitda,marketcap_log,roe,roa,debt_equity,revenue_growth,fcf_yield,close
2022-04-28,0.04485232,0.02531221,0.0742575,-0.02322342,0.00831878,50.8184,-5.3408389,16.619907,-27.5448,18.8521,,,,,,,,,,,427.75
2022-04-29,-0.07829573,-0.03695516,-0.05246701,-0.03295364,-0.1106873,44.7541,-5.64635462,16.6142,35.9045,2.3137,,,,,,,,,,,394.259
2022-04-29,0.04477006,-0.03703098,0.0315751,-0.03318859,-0.01677575,48.2586,-5.82859359,17.683257,-3.6321,16.7338,,,,,,,,,,,411.91
2022-05-02,-0.03709063,0.00601889,-0.04927731,-0.03274171,-0.0943441,45.5644,-6.15447884,17.198739,-1.5264,7.633,,,,,,,,,,,396.632
2022-05-02,0.04530144,0.00653055,0.0127312,-0.0325742,-0.01076326,49.1593,-6.2526191,17.3444,-24.9333,21.8058,,,,,,,,,,,414.6
2022-05-03,-0.03895321,0.00458359,-0.06849795,0.00067306,-0.09031757,46.2056,-6.44628138,16.503372,17.0648,8.7859,,,,,,,,,,,398.45
2022-05-03,0.04487389,0.0041727,0.05598097,0.0005768,-0.02241498,49.8016,-6.38970557,16.786702,-27.7787,20.4777,,,,,,,,,,,416.33
2022-05-04,-0.01380155,0.03045301,-0.00321915,0.0282543,-0.07715268,48.6755,-6.25636181,16.726938,-6.5532,11.6212,,,,,,,,,,,410.584
2022-05-04,0.04504803,0.03062474,0.08180883,0.0285002,0.00827145,52.4061,-5.7725391,16.891871,-42.2576,28.0011,,,,,,,,,,,429.08
2022-05-05,-0.07711616,-0.03554206,-0.04488423,-0.03272446,-0.10955229,45.9688,-5.60916465,17.088166,64.5049,14.7223,,,,,,,,,,,395.991
2022-05-05,0.04598337,-0.03467885,0.03952817,-0.03167738,-0.01192041,49.6352,-5.35190693,17.911797,-4.5035,25.5004,,,,,,,,,,,414.2
2022-05-06,-0.04966924,-0.00596983,-0.05453126,-0.00160301,-0.10114404,45.8496,-5.365323,17.28024,31.0295,13.0418,,,,,,,,,,,393.627
2022-05-06,0.04553295,-0.00639788,0.00235275,-0.00087398,0.00945807,49.4656,-5.2495092,17.55508,-20.6615,26.4645,,,,,,,,,,,411.55
2022-05-09,-0.07417325,-0.03201762,-0.11199776,-0.03935134,-0.10568243,44.0681,-5.53382759,17.376146,24.5351,11.3601,,,,,,,,,,,381.024
2022-05-09,0.045236,-0.03229255,0.00572993,-0.03941148,-0.02877154,47.5483,-5.76643362,17.943992,-10.2614,19.1919,,,,,,,,,,,398.26
2022-05-10,-0.04106614,0.00231219,-0.07796958,-0.0415234,-0.10886457,44.7058,-6.20222535,17.466564,10.9253,6.8232,,,,,,,,,,,381.905
2022-05-10,0.04497192,0.00205896,0.01385322,-0.04143348,0.00225525,48.2074,-6.4543718,17.945381,-18.7388,19.8652,,,,,,,,,,,399.08
2022-05-11,-0.05823895,-0.01588615,-0.08677439,-0.0846258,-0.09673869,44.1343,-6.93429673,17.526425,20.2286,4.1703,,,,,,,,,,,375.838
2022-05-11,0.04491829,-0.01593665,0.03069623,-0.08473944,-0.01648376,47.5976,-7.24668322,18.283966,-11.5228,16.224,,,,,,,,,,,392.72
2022-05-12,-0.04398554,-0.001043,-0.05728419,-0.05188249,-0.10005992,44.554,-7.69676398,17.738683,0.9519,5.3395,,,,,,,,,,,375.446
2022-05-12,0.04513033,-0.00084029,0.02745447,-0.05265572,-0.04152051,48.0623,-7.92168075,17.920491,-17.4393,19.337,,,,,,,,,,,392.39
2022-05-13,-0.02030633,0.02390757,-0.03672948,-0.02338508,-0.10129281,46.57,-8.10274826,17.411171,-0.7539,8.2142,,,,,,,,,,,384.422
2022-05-13,0.04471128,0.02349703,0.0685721,-0.02415259,0.0186451,50.1646,-7.95414774,17.506658,-22.6603,21.686,,,,,,,,,,,401.61
2022-05-16,-0.0466821,-0.00405804,-0.02510185,0.00482384,-0.07052026,46.4906,-7.88769186,16.711183,17.0881,7.4429,,,,,,,,,,,382.862
2022-05-16,0.04544196,-0.00336147,0.06609206,0.00502185,0.00914702,50.14,-7.58065379,17.023098,-22.1386,23.8865,,,,,,,,,,,400.26
2022-05-17,-0.02379204,0.02056877,-0.00421265,0.02312617,-0.05755668,48.2021,-7.27357496,16.400734,2.4731,12.3666,,,,,,,,,,,390.737
2022-05-17,0.04499958,0.02013691,0.06216606,0.02315325,0.02477099,51.8987,-6.68546374,16.494467,-42.6773,27.1138,,,,,,,,,,,408.32
2022-05-18,-0.08163695,-0.040311,-0.06629317,-0.00226693,-0.09930584,45.2986,-6.46862358,16.585577,68.2007,8.8747,,,,,,,,,,,374.986
2022-05-18,0.04521235,-0.0401156,0.02371089,-0.00198615,-0.04540849,48.8608,-6.21062159,17.457607,-0.817,20.3131,,,,,,,,,,,391.94
2022-05-19,-0.04911466,-0.0061229,-0.06888023,-0.0073406,-0.13142071,45.2571,-6.2333123,16.712778,30.6661,4.9914,,,,,,,,,,,372.69
2022-05-19,0.04486302,-0.00645507,-0.00339615,-0.00759449,-0.01661906,48.79,-6.14978144,17.048294,-20.1964,19.8766,,,,,,,,,,,389.41
2022-05-20,-0.04252074,0.00043468,-0.08686324,-0.03009713,-0.09982617,45.6482,-6.25420843,17.008416,6.6142,9.1624,,,,,,,,,,,372.852
2022-05-20,0.04489181,0.00046224,0.03894545,-0.02992953,-0.0102559,49.2088,-6.18966989,17.286957,-24.6039,20.5981,,,,,,,,,,,389.59
2022-05-23,-0.02505711,0.01870984,-0.03090269,-0.00792453,-0.07707933,47.264,-6.16424974,16.633603,3.3131,8.8818,,,,,,,,,,,379.828
2022-05-23,0.04510463,0.01891732,0.06512115,-0.00824464,0.04182414,50.9292,-5.87730019,16.72206,-29.1378,24.4374,,,,,,,,,,,396.96
2022-05-24,-0.050461,-0.0076324,-0.03205105,-0.03533835,-0.05356049,46.831,-5.74765879,16.241913,27.2684,11.9891,,,,,,,,,,,376.929
2022-05-24,0.04539582,-0.0073559,0.05682684,-0.03497257,0.03177492,50.4956,-5.43731503,16.383276,-16.876,27.4095,,,,,,,,,,,394.04
2022-05-25,-0.03497361,0.00883456,-0.02395082,0.01406186,-0.04716097,47.6472,-5.23745432,15.753042,12.4284,14.4027,,,,,,,,,,,380.259
2022-05-25,0.04507717,0.00852705,0.04626305,0.0139307,0.05737046,51.325,-4.83190741,15.997182,-24.3798,28.1763,,,,,,,,,,,397.4
2022-05-26,-0.02401359,0.01998112,-0.02293178,0.04069602,-0.01238287,49.2506,-4.45993992,15.543098,2.2382,14.2043,,,,,,,,,,,387.857
